Country Name,Country Code,"Population, total",Population growth (annual %),Surface area (sq. km),Population Density (per sq. km),Poverty headcount ratio at national poverty lines (% of population),"GNI, Atlas method (current US$)","GNI per capita, Atlas method (current US$)","GNI, PPP (current international $)","GNI per capita, PPP (current international $)",Income share held by lowest 20%,"Life expectancy at birth, total (years)","Fertility rate, total (births per woman)","Adolescent fertility rate (births per 1,000 women ages 15-19)","Contraceptive prevalence, any methods (% of women ages 15-49)",Births attended by skilled health staff (% of total),"Mortality rate, under-5 (per 1,000 live births)","Prevalence of underweight, weight for age (% of children under 5)","Immunization, measles (% of children ages 12-23 months)","Primary completion rate, total (% of relevant age group)","School enrollment, secondary (% gross)","School enrollment, primary and secondary (gross), gender parity index (GPI)","Prevalence of HIV, total (% of population ages 15-49)",Forest area (sq. km),"Water productivity, total (constant 2010 US$ GDP per cubic meter of total freshwater withdrawal)",Energy use (kg of oil equivalent per capita),CO2 emissions (metric tons per capita),Electric power consumption (kWh per capita),GDP (current US$),GDP growth (annual %),"Inflation, GDP deflator (annual %)","Agriculture, forestry, and fishing, value added (% of GDP)","Industry (including construction), value added (% of GDP)",Exports of goods and services (% of GDP),Imports of goods and services (% of GDP),Gross capital formation (% of GDP),"Revenue, excluding grants (% of GDP)",Start-up procedures to register a business (number),Market capitalization of listed domestic companies (% of GDP),Military expenditure (% of GDP),Mobile cellular subscriptions (per 100 people),High-technology exports (% of manufactured exports),Merchandise trade (% of GDP),Net barter terms of trade index (2000 = 100),"External debt stocks, total (DOD, current US$)",Total debt service (% of GNI),Net migration,"Personal remittances, paid (current US$)","Foreign direct investment, net inflows (BoP, current US$)",Net ODA received per capita (current US$),GDP per capita (current US$),"Foreign direct investment, net (BoP, current US$)","Inflation, consumer prices (annual %)"
Kuwait,KWT,3935794,3.97406926,17820,220.8638608,..,1.60E+11,40750,3.19E+11,81000,..,74.577,1.986,9.7994,..,99.9,8.8,..,93,..,97.53235626,1.060940027,0.1,62.5,..,..,..,..,1.15E+11,0.593019617,-25.95841894,0.537807521,55.93604326,53.76537784,44.93448553,25.42808492,38.62119379,12,..,5.03073036,148.5427083,2.717092493,74.26693154,126.6642767,..,..,..,15202536401,284647623.8,..,29109.06874,5154974475,3.271701661
Kyrgyz Republic,KGZ,5956900,2.059025966,199949,29.79209698,32.1,7028803387,1180,19743545516,3310,9.5,70.65121951,3.2,39.508,..,..,22.3,..,99,112.9829102,93.34668732,1.006440043,0.2,6370,..,..,..,..,6678178340,3.875825531,3.427287418,14.06076433,25.07806232,35.18960049,75.77197023,34.67146926,30.06601324,4,..,3.507499733,129.2228613,11.86204101,83.07999154,113.2810608,7510751000,6.427532473,..,362554963,1144054000,129.2601857,1121.082835,-1009094000,6.50331839
Lao PDR,LAO,6663967,1.322792589,236800,28.14175253,..,13309732549,2000,39023012655,5860,..,66.335,2.758,63.9566,..,..,67.9,..,88,101.6550827,63.60427094,0.943910003,0.3,187614.1,..,..,..,..,14390391264,7.269591775,2.348585293,17.58814396,27.69341925,33.95237774,51.8462483,31.55676354,15.80735147,8,..,..,55.93007889,35.20783281,55.60488143,97.83027121,13012454000,3.060165165,..,43338071.87,1421167447,70.69212678,2159.433152,-1421167447,1.277354271
Latvia,LVA,1977527,-0.818626341,64490,30.66408746,..,29595792823,14970,48261129005,24400,7.1,74.4804878,1.7,14.1934,..,99.9,5,..,96,100.2413635,112.2302933,0.990490019,..,33560,..,..,..,..,26972863394,2.971703832,0.001230036,3.642632393,19.55234231,60.40379643,60.9141268,22.2342926,43.23705814,4,..,1.050235366,129.97682,..,98.70540091,99.26260072,..,..,..,494501725.1,838627741.1,..,13639.69412,-695416895,0.174242244
Lebanon,LBN,5851479,4.334248771,10450,559.9501435,..,47041676547,8040,82183544197,14040,..,79.409,1.72,12.5314,..,..,8.4,..,79,72.03408813,61.30218887,0.944850028,0.1,1373,..,..,..,..,49459296463,0.815560066,2.562592677,3.454907048,15.38183458,26.90065674,47.18291595,21.36276305,17.28751491,8,23.01073977,4.412125161,79.59784184,..,46.66158205,105.6332756,30895976000,8.010673527,..,3674947485,2159289952,166.6108688,8452.443641,-1691490626,-3.749145248
Lesotho,LSO,2174645,1.335998003,30360,71.62862319,..,2867750122,1320,6970527742,3210,..,53.745,3.143,89.9072,..,..,93.8,..,90,76.11792755,53.53892899,1.056509972,23.8,490,..,..,..,..,2505879960,2.516587746,9.911453087,4.969919445,32.83029919,40.38949287,81.76524451,28.77754945,44.83172364,7,..,1.885295352,98.41335022,..,114.2112379,82.11679114,888419000,2.005606532,..,..,113220010.4,38.23152744,1152.316796,-113220010.4,3.160309819
Liberia,LBR,4499621,2.449607646,111370,40.40245129,..,1701614567,380,3244554881,720,..,62.007,4.65,130.0688,..,..,80.1,..,64,..,37.39720917,0.869710028,1.5,41790,..,..,..,..,2034000000,0,1.043219076,34.37069813,12.53687316,19.46902655,106.5486726,20.15732547,..,5,..,0.727581121,81.16239123,..,96.87807276,117.4076229,836846000,2.525940707,..,339788070.6,232679832.5,243.2271518,452.0380717,-721033135.4,7.748696876
Libya,LBY,6234955,0.49597085,1759540,3.543514214,..,37199941798,5970,1.03E+11,16450,..,71.776,2.312,5.7966,..,..,13.3,..,98,..,..,..,..,2170,..,..,..,..,29274816454,-8.862039401,-15.25096566,..,..,38.01072586,70.64409664,..,..,10,..,..,156.3295966,..,79.24900242,202.428792,..,..,..,839800000,725667000,25.23995763,4695.273094,394900000,..
Liechtenstein,LIE,37403,0.740644738,160,233.76875,..,..,..,..,..,..,82.65609756,1.4,..,..,..,..,..,..,105.7471313,116.1234436,0.850310028,..,69,..,..,..,..,6289165410,..,..,..,37.24829443,..,..,..,..,..,..,..,109.4831965,..,..,..,..,..,..,..,..,..,168146.0153,..,..
Lithuania,LTU,2904910,-0.940753797,65286,44.49514444,..,43895369438,15110,80209310944,27610,6.1,74.32195122,1.7,12.101,..,..,5,..,94,99.59171295,103.5941315,0.97074002,0.1,21800,..,..,..,..,41508609233,2.034648974,0.306313743,3.440048183,26.73286235,75.83685052,76.31642401,20.58346215,9.046017806,4,..,1.13821125,142.7066372,11.85277393,129.1120644,95.68394538,..,..,..,588850362.5,970017859,..,14289.12057,-789739198.9,-0.884108435
Luxembourg,LUX,569604,2.359951181,2590,219.9243243,..,41884068400,73530,38715487338,67970,7.2,82.29268293,1.47,5.6798,..,..,2.7,..,99,78.88298798,101.9666138,1.021450043,0.2,867,..,6548.405559,..,..,57784495265,2.861674636,1.31907195,0.230243008,11.36615381,222.703207,187.4684301,18.11858406,40.82451837,5,81.56405933,0.477909561,142.3577966,6.823001118,70.04647555,76.31485756,..,..,..,11178504815,11320244609,..,101446.7863,1.75E+11,0.474743161
"Macao SAR, China",MAC,600942,2.044412618,30.3,..,..,38748459794,64480,59085434849,98320,..,83.7,1.28,2.727,..,..,..,..,..,96.35359192,94.88189697,0.984910011,..,..,..,..,..,..,45361678147,-21.59450546,4.502454556,..,7.67366163,77.91299594,38.73659974,25.12471943,31.53342332,..,..,..,315.520799,..,26.3258801,88.14381079,..,..,..,1571312506,367365411.6,..,75484.28658,-587253909.7,4.559202881
"Macedonia, FYR",MKD,2079308,0.087230505,25710,80.87545702,21.5,10609720872,5100,27720474713,13330,..,75.549,1.524,16.9288,..,99.9,12.2,..,89,91.27797699,81.89122772,0.988179982,0.1,9980,..,..,..,..,10051659161,3.841623807,1.88709447,9.739359415,23.95278017,48.80033677,65.04352966,30.44246202,26.99165379,4,..,0.994696985,100.2055972,2.987312334,..,97.83279185,6766730000,10.69493533,..,19890647,296604200.4,103.0727531,4834.136723,-230313801.4,-0.301279047
Madagascar,MDG,24234088,2.694577946,587295,41.26390996,..,10088485965,420,34167855777,1410,..,65.539,4.241,113.7668,..,..,47.8,..,58,68.65476227,38.51231003,0.993749976,0.2,124730,..,..,..,..,9744243531,3.116614714,7.551383102,23.48610758,14.41367629,32.06400512,35.5307754,13.05677418,..,9,..,0.605143776,44.12695456,0.186266128,49.64203113,86.940817,2958793000,1.48478314,..,57976274.83,246135354.5,27.93461838,402.0883118,-435345863.4,7.404002032
Malawi,MWI,17573607,2.91437124,118480,148.3255149,..,5910747764,340,19725068804,1120,..,62.661,4.646,141.779,..,..,61.7,11.7,87,..,38.76234055,1.000609994,10.1,31470,..,..,..,..,6373201160,2.799999999,20.53465854,27.48122386,14.80716336,29.15651988,35.75475473,12.22162442,16.65116671,8,..,0.631971632,37.36687067,2.156848969,53.21838923,113.683826,1734424000,1.083288067,..,19998429.11,516092796.5,59.71341,362.6575444,-521198057,21.86734755
Malaysia,MYS,30723155,1.624739528,330800,92.87531741,0.4,3.21E+11,10450,7.95E+11,25880,5.8,75.143,2.056,13.308,..,99.4,7.6,12.4,93,103.3765869,84.97318268,1.039540052,0.4,221950,..,..,..,..,2.96E+11,5.028006349,-0.374504588,8.460227533,39.09933551,70.60151694,62.9492547,25.11360662,18.92412952,6,129.1945747,1.528863122,143.5529652,42.80094544,126.5607443,91.91112421,1.91E+11,4.685236072,..,3077376096,9857162233,-0.019529244,9648.553455,684809210.8,2.104389802
Maldives,MDV,418403,2.457269951,300,..,..,3428734843,8190,5599512587,13380,..,77.042,2.132,7.1988,..,..,8.8,..,99,95.64650726,..,..,..,10,..,..,..,..,4006531188,2.245924401,5.884757922,5.704252814,9.065808192,78.49280757,69.11091431,..,..,6,..,..,176.8127858,..,53.31320036,106.351141,966461000,3.232033668,..,348365189.2,297975993.4,64.12477922,9575.7707,-297975993.4,0.953206659
Mali,MLI,17467905,2.93397742,1240190,14.084862,..,13875053743,790,34893865665,2000,..,57.478,6.145,173.0382,15.6,43.7,113.7,25,61,50.86188126,41.65282059,0.864260018,1.3,47150,..,..,..,..,13100058100,5.962581591,2.786345327,37.66155702,17.49729048,24.04322793,39.59420616,17.40748871,14.8629285,5,..,2.360080021,129.9464074,..,49.74813361,151.9896208,3688693000,0.82888454,..,..,275317071.7,68.93385326,749.9501571,..,1.450690576
Malta,MLT,445053,2.386395363,320,..,..,10987360899,24690,15312254504,34410,8.5,81.79756098,1.45,16.9792,..,99.8,6.6,..,89,99.28662109,94.8015976,1.048769951,..,3.5,..,..,..,..,10574026838,9.621648064,2.723891159,1.099760871,13.03750341,139.4626581,132.401955,23.91117299,38.45335934,10,41.66170625,0.503586239,122.5774994,30.19682393,81.81990865,129.2220731,..,..,..,934958408.2,2949544243,..,23759.02834,-9881702740,1.099931591
Marshall Islands,MHL,52994,0.181316863,180,294.4111111,..,250183490.5,4720,285977120.5,5400,..,..,..,..,..,..,35.8,..,75,..,76.61187744,1.038560033,..,126.4,..,..,..,..,179697900,-0.364546612,-1.510430832,14.33807067,10.45955599,37.20917162,91.46066815,15.95049247,27.71926773,5,..,..,29.24859418,..,103.5070527,108.0275937,..,..,..,18452182.37,-5393638.499,1076.725667,3390.910292,5393638.499,..
Mauritania,MRT,4182341,2.872311257,1030700,4.057767537,..,5157637431,1230,15442675756,3690,..,63.082,4.736,81.7854,17.8,69.3,84.1,24.9,70,68.05400085,30.34445953,1.020820022,0.4,2245,..,..,..,..,4844223107,1.399996443,-4.86607678,24.52318143,25.25626309,37.10459511,72.26029689,54.76765769,..,7,..,3.76787742,87.13978607,..,68.87707089,133.9078707,3775705000,4.45342858,..,171581503,501726765.7,76.03397236,1158.256371,-501726765.7,3.254726881
Mauritius,MUS,1262605,0.132433083,2040,618.9240196,..,12351747902,9780,25177405234,19940,..,74.35317073,1.36,27.2926,..,99.8,14.4,..,99,100.4805603,97.36966705,1.032019973,..,386,..,..,..,..,11692287066,3.468664134,1.043157402,3.153993847,19.24209489,48.79492941,58.84194168,18.09106279,11.46166683,5,61.90876053,0.183007216,139.9254916,0.05962622,63.73521243,85.69484612,14642562000,29.30441536,..,7126791.01,208290139.5,62.10968593,9260.447303,-356592085.8,1.286549708
Mexico,MEX,125890949,1.334898066,1964380,64.0868615,..,1.24E+12,9860,2.12E+12,16860,..,76.933,2.215,62.5464,66.9,97.7,14.8,3.9,97,101.7891693,95.26338196,1.038239956,0.3,660400,14.28199224,1488.017911,..,..,1.17E+12,3.270472129,2.736064928,3.200344552,29.98461617,34.59116399,36.63251793,23.2718443,19.05399559,7,34.39171362,0.671678249,85.54092479,14.68693681,67.18665391,103.6368748,4.26E+11,4.745290835,..,810619117,36775634408,2.550381918,9290.760629,-24266157376,2.720641263
"Micronesia, Fed. Sts.",FSM,104433,0.401059795,700,149.19,..,379950462.7,3640,432304872.9,4140,..,69.078,3.194,15.7768,..,..,34.2,..,74,..,..,..,..,642.7,..,..,..,..,315179700,4.931500557,-5.544760451,26.06010888,6.156287018,26.27301822,77.48643076,..,28.49176771,7,..,..,21.54970172,..,63.41017521,96.03511099,..,..,..,..,800000,779.3513545,3018.008675,..,-0.516856116
Moldova,MDA,3554108,-0.064383615,33850,104.995805,9.6,7938965919,2230,19234286129,5410,9.7,71.468,1.248,23.4344,..,..,16,..,89,90.90860748,86.10812378,1.001209974,0.5,4090,..,..,..,..,6512899540,-0.40000013,9.821705527,12.23988316,18.83552622,42.80452992,73.86340086,22.68368105,31.36019843,5,..,0.353941168,91.3220675,3.988927282,91.4124341,71.28439736,6345427000,6.110093684,..,154110000,216140000,87.94893121,1832.499052,-209120000,9.676240331
Monaco,MCO,38307,0.457882248,2,..,..,..,..,..,..,..,..,..,..,..,..,3.5,..,88,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,88.80883389,..,..,..,..,..,..,..,..,..,..,..,..
Mongolia,MNG,2976877,1.795779088,1564120,1.903228013,..,11463724094,3850,33208154417,11160,..,69.087,2.793,24.8272,..,..,18.8,..,98,98.33010101,91.39177704,1.002490044,0.1,125528,..,..,..,..,11749620620,2.379835807,1.733009104,13.35614513,31.04054776,45.64559477,44.6414181,26.41264614,22.56311408,6,..,0.865609772,103.0662671,4.031121244,72.060199,157.5368119,21542455000,16.25894386,..,227551598.3,94319767.47,79.39192651,3946.962075,-82911241.94,6.580057365
Montenegro,MNE,622159,0.056110724,13810,45.05133961,..,4526711419,7280,10380979170,16690,..,76.938,1.677,12.4102,..,..,4.1,..,64,94.3434906,92.70513153,0.99425,0.1,8270,..,..,..,..,4052913386,3.390415207,2.219598627,8.061185734,14.35346224,42.11807213,60.57090523,20.09515908,..,6,..,1.415247897,160.4465613,..,58.99970264,..,2659804000,12.02760045,..,53619209.55,699736511.1,160.6663248,6514.272695,-687343510.1,1.548691582
Morocco,MAR,34803322,1.404045472,446550,77.93824208,..,1.07E+11,3010,2.71E+11,7620,..,75.573,2.526,32.2602,..,..,25.4,..,99,95.93862915,..,..,0.1,56320,..,..,..,..,1.01E+11,4.549502042,1.708925878,12.79597403,25.83089584,34.29424886,42.08494405,30.24272492,..,5,45.6570442,3.229924495,123.7804138,3.536814373,60.07809899,126.7211722,42990393000,3.577972346,..,78799239.1,3252913902,42.56576427,2864.092915,-2596320890,1.557907113
Mozambique,MOZ,28010691,2.891416842,799380,35.04052015,..,16353757879,580,32684878236,1170,..,57.714,5.305,142.6462,27.1,..,78.6,..,85,48.36959839,32.88227844,0.915369987,12.9,379400,9.713293573,..,..,..,14798399862,6.593985906,4.381275296,22.94397028,19.6452245,32.21627767,71.98985881,45.32566399,26.34765473,10,..,0.992915987,71.88302495,11.61205432,79.38352869,89.71930263,9996132000,2.801958056,..,190566935.1,3868353885,64.78740564,528.3125597,-3866831987,3.550759674
Myanmar,MMR,52403669,0.919199181,676590,77.45262123,32.1,62435375254,1190,2.70E+11,5160,7.3,66.464,2.23,29.402,..,..,52.4,..,84,..,..,..,0.7,290410,..,..,..,..,59687373958,6.992515574,4.136625537,26.77179521,34.46878071,20.79917286,26.56085981,34.93993002,18.4902289,14,..,4.077227344,78.22680698,0.440042584,47.4370007,95.00666669,6657380000,0.133348757,..,382264665.7,4083839112,22.29805703,1138.992271,-4083839112,9.485472555
Namibia,NAM,2425561,2.275440487,824290,2.942606364,..,12902829136,5320,25647656410,10570,2.8,63.782,3.473,76.1964,..,..,47.2,..,85,..,..,..,12.5,69190,..,..,..,..,11769045772,6.106731719,1.98502344,5.882835179,28.53892282,38.39224182,68.69095948,33.83768911,34.67182759,10,16.24005919,4.483156105,105.1227737,0.404060725,99.95689539,127.7543697,..,..,..,63687286.08,1169185079,58.69982243,4852.092267,-1125688025,3.395660655
Nauru,NRU,12475,5.114564154,20,623.75,..,147813100.2,11850,201960780.8,16190,..,..,..,..,..,..,35,..,98,..,..,..,..,0,..,..,..,..,100459782.6,2.808191226,-8.309033327,3.642533202,5.497549311,45.35251382,101.6674171,..,..,..,..,..,83.48134991,..,..,142.1486193,..,..,..,..,0,2505.01002,8052.888385,..,..
Nepal,NPL,28656282,1.168998177,147180,194.7022829,..,21088820529,740,71755458709,2500,..,69.887,2.162,63.6844,..,..,36.6,..,85,105.3747025,67.14092255,1.077849984,0.2,36360,..,..,..,..,21410840909,3.322905439,4.942814458,29.38294588,13.71712179,11.62193974,41.47332707,39.0574709,19.33382291,7,..,1.563735775,96.02102255,0.622566089,34.43233281,85.05326344,4138852000,1.019796639,..,9494425.813,51895699.93,42.74036667,747.1604624,-51895699.93,7.868908956
Netherlands,NLD,16939923,0.443220089,41540,407.7978575,..,8.31E+11,49030,8.34E+11,49250,8.9,81.5097561,1.66,4.175,..,..,4,..,95,..,133.5423126,1.00880003,0.2,3760,..,4233.043857,..,..,7.58E+11,2.260757029,0.805313303,1.624388952,18.24781954,83.42558493,72.87115356,19.92444294,38.12002803,4,96.10634636,1.143568652,122.8506375,19.32359665,142.8747507,93.75116573,..,..,..,10195414737,1.81E+11,..,44746.33405,89513304875,0.600248147
New Caledonia,NCL,272400,1.6098044,18580,14.66092573,..,..,..,..,..,..,77.24430351,2.06,19.876,..,..,..,..,..,..,..,..,..,8390,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,96.72452813,5.028256097,..,165.2630307,..,..,..,28730855.74,1203895440,..,..,-1145991625,0.570508141
New Zealand,NZL,4595700,1.889045125,267710,17.16671025,..,1.85E+11,40270,1.66E+11,36090,..,81.45682927,1.99,21.1848,..,96.3,5.6,..,93,..,114.7460938,1.035899997,0.1,101520,..,4444.725287,..,..,1.78E+11,4.434294944,0.681656929,5.486761103,20.44019725,27.57475344,26.81544067,23.3828287,32.79574311,1,41.85908279,1.111700515,121.3557518,9.617084082,39.91882292,137.9716765,..,..,..,704992380.6,-9807784.014,..,38649.3785,-5916739.644,0.292704628
Nicaragua,NIC,6082035,1.124975819,130370,46.65210555,..,12309981562,2020,32419359884,5330,..,75.149,2.231,88.3512,..,..,18.5,..,99,..,..,..,0.2,31140,..,..,..,..,12611087031,4.768608794,6.384276786,15.96035263,24.50686096,40.5508553,58.92200731,32.70363298,16.92122221,7,..,0.776082633,119.436192,0.488474132,94.49026853,105.3804503,10546824000,6.297258987,..,1600000,949900000,75.29058942,2073.497938,-904900000,3.997379967
Niger,NER,19896965,3.835749885,1267000,15.70399763,..,7818090004,390,18836106701,950,..,59.667,7.29,196.034,..,39.7,93.5,..,75,..,20.56176949,0.811640024,0.4,11420,..,..,..,..,7251323996,4.337591116,1.022213588,35.96916007,18.01153742,18.18885129,40.66056357,40.04767176,..,6,..,..,45.02696768,14.24266564,42.24496056,170.8224866,2918325000,1.271127177,..,101229047,529263979.5,43.62424118,364.4437228,-495139173,0.998329582
Nigeria,NGA,181181744,2.640357135,923770,196.1329595,..,5.17E+11,2850,1.07E+12,5880,..,52.985,5.591,111.218,..,..,107.5,19.4,42,..,..,..,2.9,69930,..,..,..,..,4.81E+11,2.652693289,2.863665134,20.63189348,20.1607829,10.66630962,10.66634225,15.49010409,..,9,10.38815134,0.417636538,83.24795074,..,20.66243892,158.7059749,28942968000,0.312523653,..,1071822245,3137318700,13.42044704,2655.157977,-1664714990,9.009387183
Northern Mariana Islands,MNP,54816,0.636874888,460,119.1652174,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,295,..,..,..,..,933000000,3.773584906,6.399139322,..,..,55.73419078,68.38156484,..,..,..,..,..,..,..,14.14790997,84.83183213,..,..,..,..,..,..,17020.57793,..,..
Norway,NOR,5190239,1.02653332,385178,13.4749103,..,4.83E+11,93050,3.34E+11,64280,9,82.30487805,1.72,5.7708,..,99.1,2.7,..,95,97.96806335,112.985733,0.982529998,0.1,121120,..,5815.807326,..,..,3.87E+11,1.970097786,-2.821783906,1.534131508,30.94127993,37.71758331,32.09207098,27.57164903,45.34853739,4,50.14591003,1.50424997,109.905197,20.51991733,46.60287255,127.6217152,..,..,..,4578256593,6823152644,..,74498.13764,15311649176,2.171136654
Oman,OMN,4199810,5.856170232,309500,13.56966074,..,76217353064,18150,1.75E+11,41600,..,76.801,2.737,8.573,..,..,11.2,..,99,100.502533,103.3129272,1.013100028,..,20,..,..,..,..,68905071521,4.738955823,-18.85780328,1.642802899,54.66861742,51.7905941,43.07428097,36.36068015,..,6,59.6809046,14.38419682,158.2608499,4.125765627,88.43118025,148.8911179,..,..,..,10990897269,-2172431730,..,16406.71162,2507412224,0.065290133
Pakistan,PAK,189380513,2.045407255,796100,237.8853322,24.3,2.72E+11,1430,1.00E+12,5310,8.9,66.322,3.55,38.4744,..,..,79.5,..,75,71.61003113,44.38660812,0.831130028,0.1,14720,..,..,..,..,2.71E+11,4.731147475,4.11024678,23.81706359,19.09099515,10.60441157,17.05026145,15.7070311,..,12,24.42019294,3.414225812,66.4797217,1.557343978,24.35139828,60.23919904,65757391000,1.310244103,..,30000000,1621000000,19.78836122,1428.637628,-1596000000,2.529328173
Palau,PLW,21288,0.915489382,460,46.27826087,..,251022552.6,11790,297997109.7,14000,..,..,2.21,..,..,100,16.3,..,95,..,..,..,..,403,..,..,..,..,293082900,10.13790025,8.366621152,2.78586707,6.687630019,57.57940842,71.24230039,21.08458051,24.90295237,8,..,..,111.5323187,40.67100768,53.46644243,98.3200384,..,..,..,16785283.38,34583158.15,654.3592634,13767.51691,-34583158.15,0.949040644
Panama,PAN,3969249,1.657882556,75420,52.62859984,23,45575810119,11480,77404363903,19500,3.4,77.806,2.541,83.8412,..,95,17.2,..,93,..,75.80210114,1.006860018,0.9,46170,..,..,..,..,54315722500,5.575764718,3.056172441,2.719288692,27.80287991,47.51940914,52.15154838,42.60027122,..,5,24.25505801,0,144.6603375,..,61.62906514,268.3012282,88566149000,5.528802253,..,828900000,5057700000,2.58235248,13684.1308,-3966300000,0.132255449
Papua New Guinea,PNG,7919825,2.09300931,462840,17.11136678,..,22011707134,2780,30780931318,3890,..,65.384,3.707,54.2226,..,..,57.1,..,79,..,..,..,0.9,335590,..,..,..,..,20638636035,5.298986928,-4.403222411,..,..,..,..,..,17.82335719,6,..,0.712357805,44.95048817,..,54.91075079,166.6653776,20493966000,5.582299564,..,279293722.6,203474073.9,74.6721045,2605.945969,-203582439.3,5.995957781
Paraguay,PRY,6639119,1.311979829,406752,16.32227746,26.6,27934179518,4210,57721021034,8690,4.3,73.023,2.509,57.5128,..,96.3,22.4,..,78,..,..,..,0.5,153230,..,..,..,..,27282581336,2.962236311,0.087257732,17.38099824,26.74196865,42.28568084,41.48880923,16.83478338,23.43491705,7,..,1.416797258,111.6411078,5.680592701,68.36735047,108.5700927,16124878000,8.493449754,..,..,529859000,9.064455691,4109.367724,-305720000,3.129002745
Peru,PER,31376671,1.293736852,1285220,24.41346306,21.8,1.93E+11,6160,3.80E+11,12100,4.7,74.747,2.429,49.3358,74.6,91.6,16.2,3.4,92,99.445961,95.74452209,1.000419974,0.3,739730,..,..,..,..,1.90E+11,3.251369628,2.608112339,7.041147351,29.76412115,21.27373917,23.86020549,24.24314073,19.41841514,7,29.77767452,1.725818738,109.1123083,4.695465905,38.08807545,159.0998154,65940554000,2.519037331,..,..,8271633514,10.67130417,6053.112415,-8144268434,3.555396247
Philippines,PHL,101716359,1.599599197,300000,339.05453,21.6,3.58E+11,3520,9.01E+11,8850,..,68.951,2.958,59.211,..,..,29.1,21.5,82,101.3476791,88.33479309,1.008829951,0.1,80400,..,..,..,..,2.93E+11,6.066548903,-0.586573664,10.2601852,30.89632802,28.39572169,34.29428708,21.21435715,15.36244302,16,81.57140294,1.139292372,115.8496776,53.0641174,45.62499738,66.99984292,80622659000,2.236989318,..,153322154.9,5639155962,5.066146735,2878.33837,-99650560.95,0.674192537
Poland,POL,37986412,-0.066641101,312680,121.4865422,17.3,5.07E+11,13340,9.76E+11,25690,..,77.45121951,1.32,13.3568,..,99.8,4.9,..,96,98.75547791,106.6104736,0.98676002,..,94350,..,2490.206419,..,..,4.77E+11,3.844593971,0.756199227,2.202410592,30.27116937,49.52089372,46.4264596,20.46969198,32.53365026,5,28.86099481,2.139534636,142.5242595,8.777098319,82.9099244,100.5032961,..,..,..,2557000000,15065000000,..,12566.48344,-10152000000,-0.874125874
Portugal,PRT,10358076,-0.414141102,92225,112.3131038,..,2.12E+11,20440,2.97E+11,28720,6.7,81.12439024,1.31,10.4192,..,98.9,3.7,..,98,..,118.2315369,0.96687001,0.6,31820,..,2131.681888,..,..,1.99E+11,1.822066826,2.029356949,2.050264308,19.53332485,40.40260963,39.82034698,15.82319981,37.79287797,6,30.00557275,1.787974411,112.4415545,..,61.18805084,106.4898618,..,..,..,235013175.6,2506507992,..,19252.63495,-1325957219,0.487938624
Puerto Rico,PRI,3473177,-1.76079181,8870,391.564487,..,67483816870,19430,88039381572,25350,..,79.59612195,1.3365,39.543,..,..,..,..,..,76.23190308,86.50180817,1.042289972,..,4959.5,..,..,..,..,1.03E+11,-1.112697789,1.813924334,0.828554393,50.30748423,67.27607653,41.91538972,8.517453839,..,6,..,..,87.24088991,..,..,..,..,..,..,..,..,..,29697.16199,..,..
Qatar,QAT,2481539,4.412615624,11610,213.7415159,..,1.88E+11,75660,3.10E+11,124760,..,78.036,1.929,10.4604,..,99.9,8.1,..,99,91.97669983,91.17249298,1.118929982,0.1,0,..,..,..,..,1.65E+11,3.551015687,-22.90181151,0.159687633,58.50224013,56.05586564,36.00030035,38.20355584,..,8,86.58599094,..,150.7318241,3.407507506,67.1647732,605.4191713,..,..,..,12192032967,1070879121,..,66346.52267,2952472527,1.610185208
