Rank,State,"Total Carbon Dioxide Emissions, million metric tons",Note: Rankings are based on the full source data values.
1,TX,626.0
2,CA,364.0
3,PA,233.0
4,FL,231.0
5,IL,219.0
6,LA,218.0
7,OH,215.0
8,IN,188.0
9,NY,168.0
10,MI,163.0
11,GA,137.0
12,KY,130.0
13,MO,123.0
14,NC,120.0
14,AL,120.0
16,NJ,112.0
17,VA,103.0
18,OK,101.0
19,WI,100.0
19,TN,100.0
21,WV,92.0
22,AZ,91.0
23,CO,90.0
24,MN,88.0
25,IA,76.0
25,WA,76.0
27,SC,73.0
28,MA,66.0
29,MS,65.0
29,WY,65.0
31,KS,63.0
31,UT,63.0
33,AR,59.0
33,MD,59.0
35,ND,57.0
36,NE,51.0
37,NM,50.0
38,OR,38.0
39,CT,37.0
40,AK,36.0
41,NV,35.0
42,MT,32.0
43,HI,19.0
44,ID,18.0
45,ME,17.0
46,NH,15.0
47,SD,14.0
48,DE,13.0
49,RI,11.0
50,VT,6.0
51,DC,3.0